State,Waiting for Adoption 2010,Waiting for Adoption 2011,Waiting for Adoption 2012,Waiting for Adoption 2013,Waiting for Adoption 2014,Waiting for Adoption 2015,Waiting for Adoption 2016,Waiting for Adoption 2017,Waiting for Adoption 2018,Waiting for Adoption 2019,Parental Rights Terminated 2010,Parental Rights Terminated 2011,Parental Rights Terminated 2012,Parental Rights Terminated 2013,Parental Rights Terminated 2014,Parental Rights Terminated 2015,Parental Rights Terminated 2016,Parental Rights Terminated 2017,Parental Rights Terminated 2018,Parental Rights Terminated 2019,Adopted 2010,Adopted 2011,Adopted 2012,Adopted 2013,Adopted 2014,Adopted 2015,Adopted 2016,Adopted 2017,Adopted 2018,Adopted 2019,Served 2010,Served 2011,Served 2012,Served 2013,Served 2014,Served 2015,Served 2016,Served 2017,Served 2018,Served 2019,STATEFP20,Adopted Over Waiting for Adoption 2010,Parental Rights Terminated Over Waiting For Adoption 2010,Adopted Over Waiting for Adoption 2011,Parental Rights Terminated Over Waiting For Adoption 2011,Adopted Over Waiting for Adoption 2012,Parental Rights Terminated Over Waiting For Adoption 2012,Adopted Over Waiting for Adoption 2013,Parental Rights Terminated Over Waiting For Adoption 2013,Adopted Over Waiting for Adoption 2014,Parental Rights Terminated Over Waiting For Adoption 2014,Adopted Over Waiting for Adoption 2015,Parental Rights Terminated Over Waiting For Adoption 2015,Adopted Over Waiting for Adoption 2016,Parental Rights Terminated Over Waiting For Adoption 2016,Adopted Over Waiting for Adoption 2017,Parental Rights Terminated Over Waiting For Adoption 2017,Adopted Over Waiting for Adoption 2018,Parental Rights Terminated Over Waiting For Adoption 2018,Adopted Over Waiting for Adoption 2019,Parental Rights Terminated Over Waiting For Adoption 2019,"Maternal Deaths Per 100,000 Births",Abortion Overview,Score,Grade
Minnesota,1074,1143,1191,1219,1188,1285,1541,1990,2026,1951,1003,961,1008,1110,1126,1225,1457,1848,1852,1812,627,572,520,583,642,735,899,946,1284,1347,10782,10711,10729,11114,11564,12961,14581,15876,16042,15014,27,0.5837988826815642,0.9338919925512104,0.5004374453193351,0.8407699037620298,0.436607892527288,0.8463476070528967,0.4782608695652174,0.9105824446267432,0.5404040404040404,0.9478114478114478,0.5719844357976653,0.953307392996109,0.5833874107722258,0.945489941596366,0.4753768844221106,0.928643216080402,0.6337611056268511,0.914116485686081,0.690415171706817,0.9287544848795488,11.8,neither,70.0,B-
Mississippi,843,880,955,1000,1184,1437,1553,1867,1730,1610,451,459,388,353,356,412,445,154,103,519,355,358,425,352,314,312,400,364,431,719,5887,5955,5999,6119,6766,7371,8396,8330,7882,7039,28,0.4211150652431791,0.5349940688018979,0.4068181818181818,0.5215909090909091,0.4450261780104712,0.40628272251308895,0.35200000000000004,0.353,0.2652027027027027,0.3006756756756757,0.2171189979123173,0.2867084203201113,0.25756600128782997,0.2865421764327109,0.19496518478843064,0.08248527048741296,0.2491329479768786,0.059537572254335265,0.446583850931677,0.32236024844720496,20.8,significantly restricted,10.0,F
Missouri,1992,2056,2067,2162,2325,2513,2584,2825,2783,2745,1008,976,854,862,764,698,764,840,864,895,1170,1212,1228,1233,1291,1357,1591,1541,1798,1820,13744,14639,15460,16191,17760,18678,19332,19030,19218,19327,29,0.5873493975903614,0.5060240963855421,0.5894941634241245,0.4747081712062257,0.5940977261731979,0.413159167876149,0.5703052728954672,0.3987049028677151,0.5552688172043011,0.3286021505376344,0.5399920413847991,0.2777556705133307,0.6157120743034056,0.29566563467492263,0.5454867256637168,0.2973451327433628,0.6460653970535394,0.31045634207689543,0.663023679417122,0.3260473588342441,34.6,significantly restricted,10.0,F
Montana,495,460,403,498,587,580,633,831,977,1018,350,314,292,369,447,385,439,556,687,672,191,238,225,165,234,310,260,274,396,482,2614,2771,3066,3397,3602,4232,4924,5682,6098,6050,30,0.38585858585858585,0.7070707070707071,0.5173913043478261,0.6826086956521739,0.5583126550868487,0.7245657568238213,0.3313253012048193,0.7409638554216867,0.3986371379897785,0.7614991482112436,0.5344827586206896,0.6637931034482759,0.4107424960505529,0.693522906793049,0.3297232250300842,0.6690734055354994,0.4053224155578301,0.7031729785056294,0.4734774066797642,0.6601178781925344,21.0,neither,35.0,C-
Nebraska,768,831,904,705,692,709,715,771,817,689,460,486,555,407,463,455,463,451,497,453,437,413,417,586,461,533,483,546,564,560,8552,8362,8055,7749,6339,5956,6186,6564,5962,5643,31,0.5690104166666666,0.5989583333333334,0.4969915764139591,0.5848375451263538,0.46128318584070793,0.6139380530973452,0.8312056737588652,0.5773049645390071,0.6661849710982659,0.6690751445086706,0.7517630465444288,0.6417489421720733,0.6755244755244755,0.6475524475524476,0.7081712062256809,0.5849546044098574,0.6903304773561811,0.6083231334149327,0.8127721335268505,0.6574746008708273,18.2,neither,10.0,F
Nevada,2094,1970,1880,1957,2067,1999,1619,1672,1664,1667,1087,938,859,721,691,695,692,756,779,885,644,821,776,729,729,799,796,740,760,805,7635,7525,7705,8029,7793,7634,7822,7553,7497,7722,32,0.3075453677172875,0.5191021967526266,0.416751269035533,0.4761421319796954,0.4127659574468085,0.4569148936170213,0.37250894225855896,0.3684210526315789,0.35268505079825835,0.3343009192065796,0.3996998499249625,0.3476738369184592,0.4916615194564546,0.42742433600988267,0.44258373205741625,0.4521531100478469,0.4567307692307692,0.4681490384615384,0.4829034193161368,0.5308938212357528,8.4,protected,10.0,F
New Hampshire,227,167,182,189,167,177,168,214,270,253,64,25,21,21,40,76,78,109,180,125,173,144,96,110,120,118,87,108,211,278,1368,1216,1166,1282,1465,1597,1810,2039,2140,2111,33,0.7621145374449341,0.28193832599118945,0.8622754491017964,0.1497005988023952,0.5274725274725275,0.1153846153846154,0.582010582010582,0.1111111111111111,0.7185628742514971,0.23952095808383236,0.6666666666666666,0.4293785310734463,0.5178571428571429,0.4642857142857143,0.5046728971962616,0.5093457943925234,0.7814814814814814,0.6666666666666666,1.098814229249012,0.4940711462450593,,,,
New Jersey,2464,2294,2227,2443,2593,2698,2567,2479,2267,1895,969,689,736,762,869,959,990,963,998,792,1275,1089,1023,927,1024,1072,1185,1106,1054,1162,12080,11215,11582,12043,11847,11617,11019,10131,9382,8116,34,0.5174512987012987,0.39326298701298706,0.474716652136007,0.3003487358326068,0.4593623709025595,0.330489447687472,0.3794514940646746,0.31191158411788783,0.3949093713844967,0.3351330505206325,0.3973313565604151,0.3554484803558191,0.4616283599532528,0.3856641994546163,0.4461476401774909,0.3884630899556273,0.4649316277018086,0.4402293780326423,0.6131926121372032,0.4179419525065963,38.1,neither,85.0,B
New Mexico,777,786,834,880,990,1134,1263,1424,1205,1194,464,441,411,518,523,507,531,812,597,621,420,351,345,310,315,295,306,311,297,336,3716,3637,3558,3746,4174,4126,4325,4479,4299,3933,35,0.5405405405405406,0.5971685971685972,0.4465648854961832,0.5610687022900763,0.4136690647482014,0.4928057553956834,0.3522727272727273,0.5886363636363636,0.3181818181818182,0.5282828282828282,0.2601410934744268,0.4470899470899471,0.24228028503562946,0.4204275534441805,0.2183988764044944,0.5702247191011236,0.2464730290456432,0.4954356846473029,0.2814070351758794,0.5201005025125628,21.5,significantly restricted,25.0,D
New York,6603,6417,6061,5843,5463,5271,4832,4578,4233,3806,3348,3266,2925,2811,2694,2605,2386,2243,2134,1756,2205,2214,2182,2184,1997,1933,1949,1762,1697,1648,40026,37344,34541,33526,32276,27890,27314,26316,24991,24054,36,0.3339391185824625,0.5070422535211268,0.3450210378681627,0.5089605734767025,0.3600065995710279,0.4825936314139581,0.3737805921615608,0.4810884819442067,0.36555006406736223,0.4931356397583746,0.3667235818630241,0.4942136217036616,0.40335264900662254,0.4937913907284768,0.38488422892092616,0.4899519440803845,0.4008977084809828,0.5041341837939995,0.4330005254860746,0.4613767735155018,19.2,protected,40.0,C
North Carolina,2427,2234,2071,2172,2416,2739,2943,2929,2819,2861,1208,1126,1011,975,1123,1210,1284,1434,1255,1211,1615,1463,1329,1222,1176,1311,1501,1528,1522,1546,13607,13404,13163,13401,14345,15011,15687,15501,15241,15676,37,0.6654305727235269,0.4977338277709106,0.6548791405550581,0.5040286481647269,0.6417189763399324,0.4881699661999034,0.5626151012891344,0.4488950276243094,0.4867549668874172,0.46481788079470204,0.4786418400876232,0.4417670682730924,0.5100237852531431,0.43628950050968396,0.5216797541823148,0.4895868897234551,0.5399077687123093,0.4451933309684285,0.5403704998252359,0.42327857392520096,18.6,neither,10.0,F
North Dakota,227,230,211,237,262,296,355,396,429,421,131,116,116,135,153,172,242,284,332,333,145,119,155,104,96,133,132,162,172,197,1913,1769,1887,2012,2178,2332,2388,2461,2613,2518,38,0.6387665198237885,0.5770925110132159,0.5173913043478261,0.5043478260869565,0.7345971563981043,0.5497630331753555,0.4388185654008439,0.569620253164557,0.36641221374045796,0.583969465648855,0.4493243243243243,0.581081081081081,0.37183098591549296,0.6816901408450704,0.4090909090909091,0.7171717171717171,0.40093240093240096,0.7738927738927739,0.4679334916864608,0.7909738717339667,20.1,significantly restricted,20.0,D-
Ohio,3013,2789,2655,2976,2942,3010,3201,3373,3579,3677,2687,2484,2277,2591,2644,2643,2730,2936,3117,3290,1438,1420,1250,1244,1406,1334,1449,1538,1566,1665,21025,21540,21233,21435,21859,22533,23646,25195,26744,27440,39,0.4772651842017922,0.8918021905077995,0.5091430620294012,0.8906418070993187,0.4708097928436911,0.8576271186440678,0.4180107526881721,0.8706317204301075,0.477906186267845,0.8987083616587356,0.44318936877076415,0.8780730897009966,0.4526710402999063,0.8528584817244611,0.455973910465461,0.8704417432552624,0.4375523889354568,0.8709136630343671,0.4528147946695676,0.8947511558335601,19.2,significantly restricted,35.0,C-
Oklahoma,2869,2961,2805,3238,3973,4288,4366,4075,4018,3787,1913,1872,1585,1754,2260,2255,2399,2091,1937,1830,1628,1294,1533,1286,1382,2159,2487,2593,2238,2086,13056,12639,13622,15077,16345,16841,16273,15139,13962,13108,40,0.5674451028232834,0.6667828511676542,0.4370145221209051,0.6322188449848024,0.546524064171123,0.5650623885918004,0.3971587399629401,0.541692402717727,0.3478479738233073,0.5688396677573622,0.5034981343283582,0.5258861940298507,0.5696289509848832,0.5494732020155749,0.636319018404908,0.5131288343558282,0.5569935291189647,0.482080637132902,0.5508317929759704,0.483232109849485,21.1,significantly restricted,10.0,F
Oregon,1827,1830,1873,1854,1897,1757,1666,1613,1792,1657,1068,1254,1385,1308,1586,1394,1236,1197,1256,1258,780,657,683,768,847,835,768,707,679,792,13263,12991,12515,12226,11062,10899,10816,11149,10912,10342,41,0.4269293924466338,0.5845648604269293,0.3590163934426229,0.6852459016393443,0.3646556326748532,0.7394554191137213,0.4142394822006473,0.7055016181229773,0.4464944649446495,0.8360569319978914,0.4752418895845191,0.7933978372225384,0.46098439375750294,0.7418967587034814,0.4383137011779293,0.7420954742715437,0.37890625,0.7008928571428571,0.4779722389861195,0.7592033796016898,12.8,protected,95.0,B+
Pennsylvania,2909,2066,1924,1909,1896,2425,3092,3711,3763,3411,1571,1277,1258,1246,1210,1403,1612,2068,2256,1958,2365,2013,1881,1892,1849,1832,1917,2077,2628,2849,32641,25151,23523,22955,24293,25388,25822,26552,26497,25584,42,0.8129941560673771,0.5400481265039533,0.9743465634075508,0.6181026137463698,0.9776507276507276,0.6538461538461539,0.9910948140387638,0.6526977475117863,0.9752109704641352,0.6381856540084389,0.7554639175257732,0.5785567010309278,0.6199870633893921,0.5213454075032341,0.5596874157908921,0.5572621934788466,0.6983789529630614,0.5995216582513951,0.8352389328642627,0.5740252125476399,18.6,neither,10.0,F
Rhode Island,309,267,222,250,212,303,296,317,316,358,177,148,129,113,103,114,110,108,102,107,184,201,191,162,202,211,279,250,254,184,3466,3209,2935,2902,2973,2948,2868,2863,3109,3058,44,0.5954692556634305,0.5728155339805825,0.7528089887640449,0.5543071161048689,0.8603603603603603,0.581081081081081,0.648,0.452,0.9528301886792452,0.4858490566037736,0.6963696369636964,0.3762376237623761,0.9425675675675677,0.3716216216216216,0.7886435331230284,0.34069400630914826,0.8037974683544303,0.3227848101265823,0.5139664804469274,0.2988826815642458,22.1,protected,70.0,B-
South Carolina,1699,1415,1336,1226,1211,1213,1344,1470,1591,1568,857,674,585,599,564,540,558,527,594,765,529,588,776,506,449,403,433,487,435,529,8290,7354,6522,5989,6520,7038,7413,7579,8047,8300,45,0.3113596233078281,0.5044143613890524,0.415547703180212,0.4763250883392226,0.5808383233532934,0.43787425149700604,0.4127243066884176,0.4885807504078303,0.3707679603633361,0.4657308009909166,0.3322341302555647,0.4451772464962902,0.3221726190476191,0.41517857142857145,0.33129251700680273,0.3585034013605442,0.2734129478315525,0.3733500942803269,0.33737244897959184,0.4878826530612245,27.9,neither,30.0,D+
South Dakota,418,376,397,354,336,308,361,365,371,396,337,315,313,281,292,256,284,313,345,358,133,168,126,177,159,121,110,181,183,211,2892,2836,2543,2296,2187,2179,2377,2571,2705,2733,46,0.3181818181818182,0.8062200956937801,0.44680851063829785,0.8377659574468085,0.3173803526448363,0.7884130982367759,0.5,0.7937853107344632,0.4732142857142857,0.8690476190476191,0.3928571428571429,0.8311688311688312,0.3047091412742382,0.7867036011080333,0.4958904109589041,0.8575342465753425,0.4932614555256065,0.9299191374663072,0.5328282828282829,0.904040404040404,24.5,neither,10.0,F
Tennessee,789,792,949,1077,1178,1268,1301,1322,1625,1743,689,638,779,892,951,1056,1112,1067,999,1014,972,772,813,1160,1162,1112,1225,1260,1248,1166,11026,11289,12225,12844,11929,12188,12480,13246,14170,14371,47,1.2319391634980992,0.8732572877059569,0.9747474747474748,0.8055555555555556,0.8566912539515279,0.8208640674394099,1.0770659238625813,0.8282265552460538,0.9864176570458404,0.8073005093378608,0.8769716088328076,0.8328075709779179,0.9415833973866256,0.8547271329746349,0.9531013615733736,0.8071104387291982,0.768,0.6147692307692307,0.6689615605278256,0.5817555938037866,26.7,neither,40.0,C
Texas,13108,13481,13154,12991,13238,12643,12377,13443,13822,12932,8748,9120,9001,8807,8825,8879,8330,8549,8888,8578,4709,4718,5039,5443,5221,5457,5723,5361,5748,6105,42658,45826,46505,46286,46777,47492,48963,50331,52361,51097,48,0.3592462618248398,0.6673787000305157,0.3499740375343076,0.6765076774719976,0.3830773909077087,0.6842785464497492,0.4189823724116696,0.677930875221307,0.3943949237044871,0.6666414866294003,0.43162224155659257,0.7022858498774025,0.4623899167811263,0.6730225418114244,0.3987949118500335,0.6359443576582609,0.4158587758645637,0.6430328461872378,0.4720847510052583,0.6633158057531704,34.5,neither,10.0,F
Utah,553,567,570,612,629,594,630,802,728,684,307,337,307,421,364,295,304,386,387,361,574,577,562,587,605,695,632,665,818,639,4928,4855,4897,4881,5031,5110,4997,5062,4874,4572,49,1.0379746835443038,0.5551537070524413,1.0176366843033509,0.5943562610229277,0.9859649122807016,0.5385964912280702,0.9591503267973857,0.6879084967320261,0.9618441971383148,0.5786963434022258,1.17003367003367,0.4966329966329967,1.0031746031746032,0.4825396825396826,0.8291770573566085,0.4812967581047382,1.1236263736263736,0.5315934065934066,0.9342105263157896,0.5277777777777778,16.5,neither,20.0,D-
Vermont,180,196,226,213,232,304,387,329,324,331,137,135,159,171,198,193,244,240,233,237,161,134,172,179,164,189,216,287,262,260,1579,1546,1566,1604,1721,2045,2072,2013,2045,1985,50,0.8944444444444445,0.7611111111111111,0.6836734693877551,0.6887755102040817,0.7610619469026548,0.7035398230088495,0.8403755868544601,0.8028169014084507,0.7068965517241379,0.8534482758620692,0.6217105263157895,0.6348684210526315,0.5581395348837209,0.6304909560723514,0.8723404255319149,0.729483282674772,0.8086419753086421,0.7191358024691358,0.7854984894259819,0.716012084592145,,,,
Virginia,1562,1372,1519,1503,1532,1708,1886,1826,1766,1934,1267,954,1097,1052,1101,1125,1322,1307,1091,1236,747,755,639,709,632,562,627,801,879,769,8555,7836,7507,7182,7393,7479,7782,7635,7754,7612,51,0.4782330345710628,0.8111395646606914,0.5502915451895044,0.6953352769679301,0.4206714944042133,0.7221856484529295,0.4717232202262142,0.6999334664005322,0.41253263707571797,0.7186684073107049,0.32903981264637,0.6586651053864169,0.3324496288441145,0.7009544008483564,0.4386637458926616,0.7157721796276013,0.4977349943374858,0.6177802944507361,0.3976215098241985,0.6390899689762151,20.0,neither,10.0,F
Washington,3089,2783,2860,3101,3213,3075,3278,3569,3733,3478,1741,1340,1324,1489,1625,1567,1575,1730,1966,1774,1633,1583,1227,1328,1362,1484,1387,1345,1331,1509,16077,15055,14685,15222,16154,16170,16252,16778,16821,16582,53,0.5286500485594043,0.5636128196827452,0.5688106360043119,0.481494789795185,0.429020979020979,0.4629370629370629,0.4282489519509836,0.4801676878426314,0.4239028944911298,0.5057578586990352,0.4826016260162602,0.5095934959349594,0.4231238560097621,0.4804758999389872,0.3768562622583357,0.4847296161389745,0.35654969193678004,0.5266541655504956,0.43387004025301895,0.5100632547441059,13.8,protected,85.0,B
West Virginia,1241,1474,1407,1364,1388,1456,2147,2403,2376,2577,1013,1164,1039,1005,1045,1031,1455,1711,1752,1928,662,698,632,877,852,893,940,1069,1399,1675,7085,7505,7394,7906,8069,8417,9440,10441,11567,12026,54,0.5334407735697019,0.8162771958098308,0.4735413839891452,0.7896879240162822,0.44918265813788205,0.738450604122246,0.6429618768328446,0.7368035190615836,0.6138328530259366,0.7528818443804035,0.6133241758241759,0.7081043956043956,0.4378202142524453,0.6776897997205403,0.44486059092800667,0.7120266333749481,0.5888047138047138,0.7373737373737373,0.6499805975941017,0.7481567714396585,12.9,significantly restricted,10.0,F
Wisconsin,1159,1163,1129,1153,1148,1267,1389,1397,1404,1537,556,643,613,592,586,665,764,726,663,694,755,717,761,800,735,643,669,692,755,711,11035,10833,10785,10852,11158,11451,11621,12226,12539,12278,55,0.6514236410698878,0.4797238999137187,0.6165090283748925,0.5528804815133276,0.6740478299379983,0.5429583702391497,0.6938421509106678,0.5134431916738942,0.6402439024390244,0.5104529616724739,0.5074980268350434,0.5248618784530387,0.4816414686825054,0.5500359971202304,0.4953471725125269,0.5196850393700787,0.5377492877492878,0.4722222222222222,0.4625894599869877,0.4515289525048796,13.7,significantly restricted,45.0,C
Wyoming,111,130,115,85,81,69,61,69,122,155,55,65,57,26,13,20,22,17,42,28,75,73,81,86,75,74,89,82,75,120,1933,1843,1779,1890,1879,2082,2011,2062,2098,2075,56,0.6756756756756757,0.4954954954954955,0.5615384615384615,0.5,0.7043478260869566,0.4956521739130435,1.0117647058823531,0.3058823529411765,0.925925925925926,0.16049382716049382,1.072463768115942,0.2898550724637681,1.459016393442623,0.3606557377049181,1.1884057971014492,0.2463768115942029,0.6147540983606558,0.3442622950819672,0.7741935483870968,0.18064516129032254,26.3,neither,10.0,F
